,reviewText,rating,nb_adj_adv,nb_words,ratio_adj_adv
15,im fan ms cantwell absolutely love barbara marr series excited read book treat ghosted delightful ghost story sophie desperate job hired dr callahan developmental optometry vision therapy doctor thrilled like great fit finds cal unhappy ghost shadowing moonflower attached good doctor doesnt like women ghosts dont bother sophie best friend marmaduke dodsworth british ghost hilarious loved british sayings things perfect jealous moonflower wreaks havoc office scaring away patientsif love ghost stories youll wrong book entertaining read author great flair storytelling letting reader understand feel characters emotions couldnt stop laughing read story sophie cal adorable marmi stole spotlight want british ghost cant wait adventures await book youre looking escape bit rush buy book wont disappointed highly recommended,5,27,116,0.23275862068965517
16,bad liked characters story pace good suspense interest recommend friends,4,3,10,0.3
17,received email book offered free today find offered prime customers onlyhuge disappointment good advertising,1,6,14,0.42857142857142855
18,generally write review book impresses felt compelled write book think spent rotation couple dont want spoil order understand rotation clay felt needed shared book believable,2,9,25,0.36
19,ultra 1000you absolutely correct liberal adept left ideology embedded liberal cemented dogma liberal brain swallow liberal ideas propaganda differentiate right rightnobody right liberals condemn fox watch lets talk bunch morons sure fox times bit biased conservatives left stations liberalism facts facts easily checked true fox withstood testliberals tolerate common sense capable look emperor obama written list points taken book waste time policy bad bad bad mr obama lucky useful idiots supporting atrocious policiesthis week liberal time magazine writing emperor gambling iran liberals realise iran wants eliminate israel start powerful countries bringing messiah mahdi awful true example saying attack pearl harbour initiated imperial japan smash powerful america conquering asiatic countriesthe israeli prime minister forgive sure spelling said iran strike israel missiles working long range missiles wonder old europe obama admires later bear consequences foreign policiesi noticed pedantic moronic liberals mastering english language educated words eradicated hurtful ears islamic terror rape believe freedom speech reason listed political blunders adulated emperor obama morons written responding case said wanted case right mind case liberalthey said intelligent authors substance like horowitz charles krauthammer fun read ridiculous idea obviously understand underlining message message funat krauthammer wrote book horowitz wellwe dreams father claimed obama written bill ayers confirmed author lie emperorand waiting 2 liberals provide proof factual blunders obama policies listed wrong generousstill waiting,1,79,217,0.3640552995391705
20,hoping actual plotrun life absolutely worst suffered plotthere heroinethere herojust wordsjust like author,1,3,13,0.23076923076923078
21,heard like romance novels know got queim sorry eketarin suelin keeping reviews order book appeared kindle probably freebie reading book wish star trashi guess dont intelligence read real book real books lust come highschool book club read biography substanceyes read book error,1,11,42,0.2619047619047619
22,liz johnny thought safe8211for moment8211from new strain bubonic plague government said confined south son begins symptoms plague government health hotline leads home boarded quarantined liz forced sit helplessly son grows weaker houses street boarded connection outside world severed option family cope best epidemicthe premise novella drew story locked room type thrillers set reader edge start use bubonic plague allows great bad guy having delve symptoms results new plague story stress puts family effective number pageswith stories set single location like house world outside doesn8217t matter doesn8217t need detail describe plague lacked description setting inside wasn8217t help picture inside rooms apart small details like location chair window creaky stairs likewise tension world outside house missing initially quarantined liz johnny access internet think author missed opportunity online news articles social media posts fully engulf reader worldi hard time connecting characters plague opens nathan8211liz johnny8217s son8211showing symptoms plague flashbacks uniqueness lives personalities liz worried mom wife johnny worried father husband isn8217t sympathized plight didn8217t emotional ties themthis short novella 125 pages think played role characters lacking depth meant loose ends final pages think addressed story felt twodimensionalthis book good read looking quick light read thriller genrerating starsplague lisa hinsley published ebook pocket star available download december 9 2013i received advanced copy book return unbiased review,2,64,212,0.3018867924528302
23,book read alessandra torres love decided want reluctant stripper marry stranger love story,5,4,13,0.3076923076923077
24,credit writing amazing hello fell head heels love h 3 pages fall right chapter 2 comes appearances deceivingso book warn spanking pleasure punishment im adverse pleasure spanking long ends enjoy based previous reviews h felt remorse treatment h assumed regretted punishment spankings case revel painheres find extremely mean extremely disturbing h 18 yrs old h mid thirties fine norm era 18 0 zero sexual experience idea thats drilled girls heads beginning time finding true love getting married ultimate goal puts h vulnerable position said think love idea loved h hes willing extremes youth shes easily persuadable bidding learns enjoy sick foreplay dont love obsession truly love dont want hurt scared bothinsert bookkittys eyes widened saw flash doubt thought chastised spanked game relieved crushing lips ownthis chasing horseback ridingi hate think sickening think romance wish 18 yr daughter sister live anxiety fear knowing whats going trigger beatingi think hilarious contradiction authors attempt redeemable qualities heros expressing supporting theory takes action act animal cruelty mean,3,48,163,0.294478527607362
25,come onthe intro pretty hardcore prude usually start character introduction lead kink dont mind poorly written smutenjoy didnt passed page 3,1,5,21,0.23809523809523808
26,completed reading way riveting read sitting cant speak highly book written page onward book author cant wait read talk seat pants felt like cartoon hair streaming think got free golly coming air ending terrific loose ends definitely thumbs,5,17,38,0.4473684210526316
27,intro actually love regular 7 day week job earth im mid 50s physical job want working hard 5 years year lindas book provides clarity help secure healthy writing career near mid future thanks linda arent ready chuck want know prepare,5,16,40,0.4
28,cover captured eye story captured heart amazing read story comes makes yearn,4,3,12,0.25
29,dislike characters dera expected impossibly beautiful hated woman novel save ladys maid anna quint impossibly handsome frequently willing believe ill dera makes wonder keeps coming fact men novel hate dera time dera sought ohi forgotdera impossibly beautifulshes ridiculous view separate occasions information shared significant difference quint romantic hero reason chooses remain silent vacillates doormat shrew men life point anna says ill understand unthinking tongue im right annai note occasion book walks fine line rape consensual sex concerns waryoverall found book mile wide inch deep attempt tell tempestuous love story quint dera quint willfully stubborn dera iswell dont know dera beautiful weak characterization numerous sex scenes felt superfluous think ill pass remaining books series,1,43,113,0.3805309734513274
30,im trainer interesting book addresses question im heading gym pilates vs yoga whats differenceby addressing question terms things like strength weight loss relaxation health body shaping etc book answers question thought knew practice called yogalates actual person named pilatesthe book contains thorough review pilates yoga exercises allowing trainer selfdirected workout buff practice discipline correctly great reference developing routines family,5,12,59,0.2033898305084746
31,scarface silk smooth favorite authors scarface story breath taking rollercoaster ride beginning end willow came telling truth beginning wondered girls cover quickly find roxy backstabbing dirty cop girls reasons things arent story scarface disappoint didnt like ending guess karma real btch story read kept edge seat time read hours story gets 5 stars,5,12,53,0.22641509433962265
32,reading burnside mysteries kept guessing till end like characters book good writing author,5,3,13,0.23076923076923078
33,little handbook art composing sending formatted appropriate emails filled valuable information easy use discouraged short book plenty good advice utilize refine protocol emailing particularly business sensei particularly excited author chose include section coming unique appropriate salutation emails offered plenty examples emails flying forth day variety situations guide help sort ensure email receives priority recommend experience emailing new practice,5,24,58,0.41379310344827586
34,agree books canonicity star trek books theyre canon ill freely admit mckay favorite character authors loathe hes barely books girlfriend hates says doesnt trust trusts murderous wraith thing characters merely tolerate himoh whats slutting jennifer authors convinced good idea bimbo sleeping linebackers college partying night series reserved wallflower got asked quarantineim author comes write decent atlantis books hopefully officially announce books substandard fanfiction sga,1,22,64,0.34375
35,recommend book alright guess different ive read subject,2,3,8,0.375
36,bought book thinking kooky fun read crazy girl driving straight laced military guy nuts read sample stopped reading chapter wish refundviolence answer,1,5,22,0.22727272727272727
37,somewhat boring cup tea fairly written book,2,4,7,0.5714285714285714
38,typos poor grammar detracted stories blackwater places lack punctuation jumble words impossible figure socalled author trying,2,7,16,0.4375
39,good poem younger kids like second grade good pretty illustrations,5,6,10,0.6
40,book definitely different movie pointed added scenes great didnt need elaborate,3,5,11,0.45454545454545453
41,wondered amazons search works particularly obviously straight pops gay romance search searching particular author authors turn list searching think complete list search subject appear unrelated hits thrown,1,13,27,0.48148148148148145
42,title laugh cover genius truly inspired stuff mind author blessed stumbled fortunate accident totally crazy stuff totally worth price admissioni received free copy return honest review,5,9,26,0.34615384615384615
43,extremely short tease stories series disappointed expecting character development,1,6,9,0.6666666666666666
44,like plenty slang cant reviews people saying couldnt understand trying understood basically understand hes talking hes coming understand book lost opinion story plot deserved 10 stars excellant book better books read triple crown considering publishings good book recommend read,5,9,39,0.23076923076923078
45,david blum managed ask right questions right time mr obama good teacher teaching rowdy classroom cant forget come making decisions futures trying avoid mistakes past learning successes country strong,4,6,29,0.20689655172413793
46,34required reading34 want understand going onanother scary excellent bookyou 34biggest fraud34 perpetrated american people,5,3,14,0.21428571428571427
47,long drawn stories im reader find liking,3,4,7,0.5714285714285714
48,book thinking selfesteem shape body great ideas exercises recipes suggestions change perception read slowly time reflect dont change thinking body day enjoyable journey sure journey day counts,5,8,27,0.2962962962962963
49,reading great interest new faction coming warmachine convergence cyriss seeing book subtitled prelude dark convergence eagerly dropped cash downloaded itabout hour later regretted decisionthe book ploddingly paced written nineyearolds view mercenary unit consists characters largely uninteresting ending incredibly predictable called surprises obvious knows warmachine unimpressive honestly plot summary given short story quarter magazine brevity bit interestingif hyped mention convergence borrow buy book vaguely interested ill tell need knowspoiler alert ragtag group luck mercs hired mysterious patron called old man capture mysterious new warjack seen swamp fight cryx swamp swamps cryx rule cryx want mystery jack beat cryx beat mystery jack haul remains saved mysterious warcaster mysterious patron nemo arrives cavalry mysterious foreshadowing new threat mysterious new faction ensues mercs paid respected endend spoilersso end promotional material paying fine interesting written sadly,2,43,131,0.3282442748091603
50,reminded gothic novella started read book got romance evident dialogue hero heroine fun hero blind heroine hired built rogue s health stop heavy drinking use social skills added things heroine month hero shape meet fiancetheila,4,15,35,0.42857142857142855
51,bad read characters weak story boring wasnt good im sure author ok waste money books,1,7,15,0.4666666666666667
52,don know start havent finished reader ahead purchase busy,3,5,9,0.5555555555555556
53,pleasant somewhat childish short story vikings ans saxons absolutely shieldbreathren omvi petraathen etc tenuous link author keeps referring main female charactar shieldmaiden housewife motheri feel cheated totally misleading market foreworld book,2,14,31,0.45161290322580644
54,book description likely series opening episodein episode meet main character family neighborsthere zombies page little backward motion explain situation short episode focuses surviving day outbreak reaches themwhat sets series apart zombie apocalypse series far individuals raised country city dwellersi like idea bunker bunker barely mentioned segmentthe solid action appealing setting characters hooked follow seriesi recommend episode readers zombie apocalypse serial stories,4,18,61,0.29508196721311475
55,continuing travels wandering planet extended time story great read new characters sharing quest new navy like book scifi fan,5,6,19,0.3157894736842105
56,honestly book interest read half picked,1,2,6,0.3333333333333333
57,believe great stories book finished readingvampires romance rippers anthology tasty stories highly recommend picked book free books makes bargain certainly entertained halloween best thing anthologies finding new authors explore fan darlings darkness,5,9,32,0.28125
58,wont details fully bad book suffice rife unsupported allegations claim israel jfks assassination knew 911 attacks advance antisemitism naming rothschilds international financiers kennedy angered unfounded assertions lyndon johnson surely knew participated conspiracy despite fact biographer robert caro latest volume huge multivolume johnson biography finds absolutely evidence johnsons involvement footnotes citations witness assertion citation 34its likely israeli intelligence service case 911 thirty years later knew advance planned didnt pass knowledge34 book filled grammatical flaws short poorly written badly researched factually unsupported piece trashtalking conspiracy ranting seen light day,1,36,87,0.41379310344827586
59,book looks aspects eli faith marriage infidelity occurthe married couple problems way simone entered escalated morefaith acted immature times simone unrealistic thinking family accepted eli live happily afterbut deep knew going happen eli simone trying recapture love shared short period time attended high school years ago,5,17,46,0.3695652173913043
60,liked alexa lands book way plan cute funny liked characters automatically bought second book disappointment didnt like characters storyline finish thought ok bought hot mess author wrote way plan actually didnt think preview bought thinking surely misreading better felt connection characters couldnt understand storyline thought ending awful generally confused thing gave stars affection book,2,25,54,0.46296296296296297
61,chapter remaining saga gives insight mission captain lee harden major abe darabie fleshed character read hate muchi know dont,5,3,19,0.15789473684210525
62,truely read help drawn book lives characters read sitting thank sharing story,5,1,12,0.08333333333333333
63,author catherine winchester sent book want know read review honest review received book thought im gonna like dont read sappy romance novels cant judge book cover title descriptioni enjoyed book hope main female characters fall love spirit unladylike behavior characters story developed fit plot perfectlyi agree sentence book amazonwith perfect mix romance suspense sumptuous victorian elegance degrees hope turning pages leave wanting morefor wasnt lot romance good thing book romance wouldnt room story suspense guess thats way enjoyed suspense best friend relationship develops hope honoria little hatelove romance couldnt book,5,27,90,0.3
64,didnt know expect downloaded book delightfully surprised authors storytelling ability felt like knew women stories especially things youll hate date distant past found juxtaposition guilt longing surprise disbelief compelling cheered finale girl hot tin roof cant wait,5,7,37,0.1891891891891892
65,insightful biblical spoke truth hoping dr alexanders book proof heaven read disappointed dont know type experience dr alexander wasnt based biblical explanation heaven glad rebuttal come counter assertions forth dr alexanders book,5,10,32,0.3125
66,book adds pure common sense maybe hoping magic bullet gotta,1,5,10,0.5
67,actually theres lot blood reviewers statedi couldnt characters especially raven kara bring life loved raven wished loved badvery bad demon kicks ass book safe deadly handsexcept kara course book definitely dark fantasy mean dark theres lot brutal stuff thats whats great itits fantasy let heads roll book ii want,5,19,49,0.3877551020408163
68,34chain title34 darkly steamy intense exhilarating read winds strong dialogue authentic characters emotiondrama rich plot keeps edge seat entire time robyn roze crafts story womans recent separation husband takes twisting turn events meets man sets loved ones path filled violence sex emotion drama intrigue secrets change truly unexpected ways drama rich tension suspense thrilling scenes locked drama beginning endms roze talent writing uses vivid imagery characters feel real tangible create world love family clash lust possession dangerous ways wellwritten sharp tone keeps pace fast clean faltering stride tell complicated story shayna chastainoverall engaging read certainly impressed page eager robyn roze written novel wonderfully entertaining right ways,5,34,106,0.32075471698113206
69,great read book filled feeling present hot steamy tender way kathryn blossomed new found sense confidence socrates yum said,5,7,19,0.3684210526315789
70,finished reading kindle version great book didnt want rehash positive points expressed reviews want emphasize general points book impressed people interest debate motivated purchase heres list good read great educational value page turners felt excited read references quotes respected luminaries christian thought effectively writings rebuttals pastor macarthurs attacks didnt want finish instead read slowly carefully savor great lessons provided spirit book fine history lessons new testament exegesis enjoyed dr brown wisely maturely shows people emphasize different aspects gospel message according natures intellectual pole emotional pole human experience sides need edification correction learned deal good readable concise overview debate cessationists continuationists agreement important aspect book good dr brown exemplifies firmly responsibly rebuts sweeping overgeneralizations pastor macarthurs camp sadly pushing dr brown shows argue firmness ones position fall demonization gracious respectful appreciative accused dear charismatic tradition false committing great evil thats outrageous attack respond dr brown shows christian deals attacks doesnt ignore responds love charity stands absolutely firm principles convictionsin closing dont think pastor macarthur number supporters cessationist favors meanspirited uncharitable attacks christian truth choose lean expressed behaviors attitudes charismatic hands winner terms showing christians approach controversial problem issue area disagreement,5,74,189,0.3915343915343915
71,body primed action knew wrong intense brutal ruthless oh beautiful kind story stays long read page coming thoughts time time,5,9,20,0.45
72,book ok short dialogue best main character lot drawn thoughts got little annoying,1,7,13,0.5384615384615384
73,teacher time finally sit night eyes cant stay awake add week halloween activities difficult morning week found setting alarm earlier needed time read heading school today saturday found setting alarm 5 finish delightful book family awakesthis book delight read characters good bad help grinch holiday spirit holiday games house party characters unforgettable names silver closet hideout dont exactly want travel time wouldnt agree oliver cerian add antics snarky cat guidance perfect medford help oliver come senses duchessset alarm holiday spirit happened mistletoe valerie bowman,5,19,84,0.2261904761904762
74,story way tame bdsm story worth read free begging money didnt manage read thing terrible,1,10,15,0.6666666666666666
75,loved nr walker written elements retrofit perfect clever special couldnt fact read twice 24 hours caught time forgot notes review haha didnt come second time good away think want read themselvesnr real way words way writes sucks reading friends love lot books love lot authors grab start single time small bit characters good adore main ones book jennifer thomas long time receptionist shes hope loyal greatly efficient knowingand lionel door man loyal greatly efficient job doesnt banter goes thomas cooper lionel priceless laugh loud time book smile hugely beginning end fun light great readi asked special book easy cooper jones hes blurb says words thomas elkin hes mesmerising confounding amusing hungry cute impatient talented conceited smugsmartass juvenile petulant belligerent cute little shit add adorable sexy confident tom needs surprising little im usually older mature cooper irresistible dont wrong thomas smart sexy love cooper good great thing books coming needless wait,5,81,150,0.54
76,ok got free download thought id shot im interested writing figured valuable information didnt im guess author trying funny wasnt getting short read worth time,2,12,25,0.48
77,ordered item judge sounds like book read play games,1,2,9,0.2222222222222222
78,love christine feehans carpathian series love valerie twomblys eternal flame like carpathian series big twist book attention beginning end craving love flows keeps getting better flip page valerie twombly authors love love characters way harass banter author puts humor book laugh hard thought going wake husband 3 morningcomplimentary copy provided authorpublisher honest review,5,20,53,0.37735849056603776
79,holy hotness chase rocked sharing kate great read following carter self discovery meets kate talia finds going different kind party finds person crushed kate willing participant party carter learns finding love kate sharing best thing buy,5,15,36,0.4166666666666667
80,im erotica book weird book creditit tells beginning poorly written,2,3,10,0.3
81,im sorry likes kind thing mei thought good gave chapter 6he basically beats right meeting yes beats herhes huge shes tinythen sex soon condomso steer clear author future,1,11,28,0.39285714285714285
82,cupcakes ink hope prequel novella given great set information wanting wait plays feel sexual tension dying know main characters big secrets love tattoo parlor aspect looked piercing cant wait clipped wings,5,12,31,0.3870967741935484
83,lacy steele delightful characters class reunion murder lacy jason tosh yes riley laughed loud constantly definitely recommend book entire series cant wait book come chance read 1 book choose,5,10,29,0.3448275862068966
84,loved nicole christies debut novel falling ghost favourite reads new year gave 5 stars noting keen future releaseswell ive read followup novel im bit mystified books written different people book sweet sexy fantastically witty irritations plot entertaining wellwritten readby contrast slow burn things wrong sheer number typos makes disjointed read editor plot little credibility reads like primary school girls fantasy heroes hot heroine irritating plot device absent parents overused belief intimate scenes arent particularly intimatei im disappointed im sure went like desperate bid market author gone tried rework story wrote years ago probably maturing writeri havent completely given author hope takes time regroup try deliver novel league debut slow burn near,2,49,111,0.44144144144144143
85,dont know goes minds people support amanda knox desperation thought reading factually incorrect book important murder caseron hendry write pro innocence books field investigators reviewed scene knowing actual evidence read books inconsistencies jump book farcical factually incorrect huge slap face people investigated meredith kerchers murder real time scene itselfi read court transcripts amanda knox raffaelle sollecito rudy guede multiple attackers proven reads autopsy meredith easy multiple attackers blatantly obvious fact defense accepts multiple attackers tried introduce new prison witnesses appeal point finger different attackers additionally evidence merediths body moved long rudy guede left scene officially foundamanda raffaelle freed reasons hellman appeal severely flawed multiple evidence points placing scene lies murder scene bedroom cottage easily seen found guiltyknox lies day bathmat scooting story recent new twist official court testimony example people rightfully found guilty appeal evidence phase isc confirms original convictions raffaelle prison amanda extradited killer worry,1,50,146,0.3424657534246575
86,loved single collection amazing hot steamy sexy story cant wait follow books,5,5,12,0.4166666666666667
87,impressed book didnt like main characters fantasy paranormal romance book wont reading authors books felt mislead book,2,5,17,0.29411764705882354
88,looks guess didnt enjoy book understand free day bought guy hardly hacker fake ids thats hardly hacking claim coined phrase rotfl rofltcopter absurd ok ill narrative happened got caught dumb talked le lawyer present nailed says cant write certain details cant remember details fuzzy dont know dont think cellmate prison fuzzy detail guy write book surely narrative book yesterday probably exciting book,2,19,62,0.3064516129032258
89,meredith schorr developed following readers happy hear access fabulous books collection ive read reviewed books box set book blog enthusiastic supporter meredith schorr writes,5,5,24,0.20833333333333334
90,omg totally love 34hers34 series cant wait ofseven leviits nice enjoy series follow journey charactersso faces family keeps getting bigger better willing changes grow relationshipsi cant express love series,5,14,29,0.4827586206896552
91,enjoyed story short felt scene end male character found story caroline s death thoughts husbands shipwreck 1930s described elderly woman meant died young probably long husband beautiful story woman waiting lost soul mate death,5,15,34,0.4411764705882353
92,book everyonesweet love stories dark romance hard edged romance catching breath story wrote authors read work collection excellent expanding reading genre,4,6,21,0.2857142857142857
93,book free time purchase short story 216 pages actually ends 85 kindle rest excerpt authors books including book seriesmay contain spoilersthis story lark march mason stewart years ago mason proposed lark day skips town hears explanation letters etc years later meet wedding mason convinces lark week seven dates hell try convince loves hes stay surprisingly lark agrees arrangement days convinced truly meant togetheri enjoyed story thought writing good think forgave quickly im willing thats minor helps story habit authors portray sexual inequality men women example years apart hes dated slept women supposedly hes love shes slept man took virginity shes love minor annoyance minein second half book lovers declare theyll forever larks sister exposes 34secret34 mason years ago listening masons reasons lark breaks convincing untrustworthy wow thought weak plot point separate lovers cheating involved got pregnant robbed bank 34secret34 didnt like big deal takes months come senses story ends abruptlyive read reviewers took offense sex scene truthfully thought written wasnt graphic like find new adult erotica book doesnt happen 58 story thought tastefully,3,50,173,0.28901734104046245
94,person living florida close action truly state criticisms read reviews overcome persecution main stream press familya wonderful inside look felt like middle political public malestrum,5,8,25,0.32
95,sounds good mr blumenthal stuck matters hand wish democrat think want independent,3,2,12,0.16666666666666666
96,story utterly ridiculous written complete volume no8230 obvious cliffhangers teeth grating story chaotic nathan jessica completely unlikeable waiting 34redeem34 sadly guess ill reading book erratic story ends,2,12,27,0.4444444444444444
97,schaffer creates great characters history puts huge spark exciting novel novel actually think real look forward reading schaffers books,5,8,19,0.42105263157894735
98,person great deal reading found book helpful ideas expanding eye horizons unlearning subvocalization regression helpful hand movements helpful look forward finding works best recommend book interested learning read faster time efficiently,5,15,31,0.4838709677419355
99,book 5 favorite series let enumerate reasons whyspoiler warning didnt feel like story beginning middle end got adventures zed murphy real sense going book episode overall slow burn series know larger overall story arc didnt feel advanced nico subplot obvious moment reading chapter started highlighting obvious clues killed ate mr mays dragging half book felt condescending readers turning pedophile pretty surprising previous book fit adding new stuttering speech nico completely different nico earlier books yes temperature went didnt buy felt like cheat mandi amy got killed boat went ashore half dozen boats tied escape like escaped didnt sense left killed imo happened murphy focused helping zed hunt smart ones book smart ones hunt started book clear targeted delaying hunt long feels like padding read book 6 hours paying 3 novella getting bit rich length novel trend soaking readers lots short entries neverending series lot authors specialize postapocalyptic stories dont like itwhat liked liked little bit steph dalhover good characters unfortunately didnt making whites lose higher frequency band hearing neat way allow suppressed weapons explanation neat tidy im glad whites afraid water fishing hope water wont standin kryptonite going forward zeds deteriorating cognitive ability poor marksmanship rising temp add sense urgency story lacking yes know steph said temp isnt rising believe lying need reminded zed ticking time bomb murphy need hunting smart ones final battle mark zeds temperature skyrockets completely turns,3,67,230,0.29130434782608694
100,fun light read wished longer gotten know characters better,5,4,9,0.4444444444444444
101,loved book hard probably read soon read,5,5,7,0.7142857142857143
102,wish author research found sock hats knit capstheyve called called grown man skull cap little propeller thats cartoon characters wear wish hunter cam left miami remained friends matt j people diner,3,6,31,0.1935483870967742
103,diane burtons pilotive read samples longer 399 ebookthis ebook reads taken larger manuscriptit ending left hangingim buy sequel switched wayif ask money wouldno diane burton ebooks,1,6,26,0.23076923076923078
104,8211 love piper kay way writes it8217s marvelously delicious leaves wanting morecontinuing perfect passion damien dax yaaay look payce help damien8217s super cray cray expiper introduces payce perfectly story fine hot sexy man 8211 fine hot sexy men8230payce8217s opening scene scorching hot leaves breathless hanging receives damien8230 persona changes friendthe story focusses payce help damien dax past runs present helping friendshe past tried deal leave helping damien dax bring forefront face past deal ithe8217s long time seeing damien dax happy wants 8211 love companionship enter braxton brax ohhhmyyygawd craving morepayce braxton share past 8211 friendship future let hurt past forward passion lust truth bring forgiveness happinesswhen payce brax pages sizzle hot left craving morepiper brings characters life makes feel real storyline dialogue describes depicts perfectly vividly stuck imagination wish friends like payce brax damien dax ash 8211 let8217s forget quirky fanciful serge yeap i8217d love guys lifeagain piper brings story unconditional love matter gender acceptance passion desire pain forgivenesscongratulations piper kay can8217t wait serge8217s story passions pride,4,53,167,0.31736526946107785
105,years rainey brown patient minor league baseball player boyfriend adam accepts coaching job clear country input rainey starts acting different determined surprise appearance ultimatumin route adam rainey8217s car breaks stranded road middle rainey relieved beck hartnett handsome cowboy comes aid handsome charming extremely hospitable head heart stuck adamforced stay marietta days car fixed 8230 earns money pay repairs becks decides use stay advantage he8217s determined steal heart nondeserving boyfriend admit feels he8217s feeling able leaves continue drive time run rainey realizes adam8217s 8220backup8221 isn8217t besteal cowboy book i8217ve read kim boykin 100 certainty won8217t loved book characters fun 8230 good boyfriend adam 8230 story written sexy cowboy need started book couldn8217t finished yes good page enjoyable kept interest definitely recommend,5,33,120,0.275
106,enjoyable book plenty action believable characters young commander overcame self doubts idiot superior complete mission,5,5,15,0.3333333333333333
107,lillian dental hygienist inherited large piece land house tucker real estate mogul wants land start hot heavy affair introduces bondage submission spankingsthe reason gave 4 stars tucker narcissist lillian bad saw forth fighting making wanted slap end cried sex hot written,4,14,41,0.34146341463414637
108,book ok sure read book author character doesnt correct glamorize murderer,2,4,11,0.36363636363636365
